iter	Passed	Remaining
925	6165	492
926	6172	486
927	6178	479
928	6184	472
929	6190	465
930	6196	459
931	6202	452
932	6208	445
933	6215	439
934	6221	432
935	6227	425
936	6233	419
937	6239	412
938	6246	405
939	6252	399
940	6258	392
941	6264	385
942	6269	378
943	6278	372
944	6286	365
945	6292	359
946	6298	352
947	6304	345
948	6310	339
949	6316	332
950	6322	325
951	6328	319
952	6334	312
953	6340	305
954	6346	299
955	6352	292
956	6358	285
957	6365	279
958	6370	272
959	6376	265
960	6383	259
961	6389	252
962	6395	245
963	6401	239
964	6407	232
965	6413	225
966	6420	219
967	6426	212
968	6432	205
969	6439	199
970	6445	192
971	6451	185
972	6457	179
973	6463	172
974	6468	165
975	6474	159
976	6481	152
977	6487	145
978	6493	139
979	6499	132
980	6506	126
981	6514	119
982	6521	112
983	6528	106
984	6535	99
985	6542	92
986	6549	86
987	6556	79
988	6562	72
989	6568	66
990	6574	59
991	6580	53
992	6587	46
993	6592	39
994	6598	33
995	6604	26
996	6610	19
997	6616	13
998	6622	6
999	6627	0
